Map,Killer,# Finished generators,# Escaped Survivors,Comments,# Hatch escapes,Season,SBMM
BAP,Deathslinger,5,4,,0,February,FALSE
MCM,Cannibal,2,0,,0,February,FALSE
SH,Huntress,5,4,Farm,0,February,FALSE
CF,Myers,3,0,Mori,0,February,FALSE
AVW,Hillbilly,5,4,1 hatch,1,February,FALSE
RF,Ghost Face,5,4,Fake AFK + NOED,0,February,FALSE
OR,Cannibal,5,1,1 hatch + camp w/ insidious,1,February,FALSE
HA,Huntress,5,4,Farm + 1 hatch,1,February,FALSE
CP,Spirit,5,0,Facecamp + NOED,0,February,FALSE
YAM,Doctor,3,0,,0,February,FALSE
CP,Huntress,5,3,Facecamp + 1 hatch,1,February,FALSE
CF,Wraith,2,0,,0,February,FALSE
AVW,Myers,5,0,,0,February,FALSE
SH,Myers,2,1,1 hatch + farm,1,February,FALSE
AVW,Spirit,1,0,,0,February,FALSE
LER,Plague,5,3,1 hatch,1,February,FALSE
CF,Huntress,2,0,,0,February,FALSE
HA,Wraith,4,0,,0,February,FALSE
RF,Trapper,5,3,,0,February,FALSE
MCM,Trapper,1,0,Russian roulette,0,February,FALSE
OR,Demogorgon,5,3,Russian roulette,0,February,FALSE
RF,Nurse,2,1,Russian roulette + 1 hatch,1,February,FALSE
CF,Pig,4,0,Russian roulette,0,February,FALSE
HA,Oni,5,3,Russian roulette,0,February,FALSE
AVW,Myers,5,4,AFK but stalks + 1 hatch,1,February,FALSE
CF,Deathslinger,1,0,,0,February,FALSE
BWS,Blight,0,0,,0,February,FALSE
CF,Doctor,2,0,,0,February,FALSE
CF,Nurse,5,4,,0,February,FALSE
BWS,Pig,3,1,Farm at the end + 1 hatch,1,February,FALSE
AVW,Deathslinger,1,0,1 DC + Russian roulette,0,February,FALSE
MCM,Legion,0,0,Russian roulette,0,February,FALSE
YAM,Freddy,2,0,Russian roulette,0,February,FALSE
CF,Doctor,5,4,1 hatch,1,February,FALSE
BAP,Legion,0,0,,0,February,FALSE
MCM,Trapper,5,2,1 hatch,1,February,FALSE
MCM,Hag,4,0,,0,February,FALSE
CF,Deathslinger,5,2,,0,February,FALSE
SH,Deathslinger,5,3,NOED,0,February,FALSE
AVW,Deathslinger,3,0,,0,February,FALSE
HAW,Legion,3,1,1 hatch,1,February,FALSE
YAM,Nurse,5,2,,0,February,FALSE
SH,Nurse,3,1,1 hatch,1,February,FALSE
CF,Blight,5,2,Russian roulette,0,February,FALSE
OR,Ghost Face,5,4,Russian roulette,0,February,FALSE
CF,Legion,5,4,,0,February,FALSE
AVW,Wraith,5,4,AFK + 1 hatch,1,February,FALSE
AVW,Nurse,0,4,Killer DC,0,February,FALSE
HA,Pyramid Head,5,3,,0,February,FALSE
AVW,Nurse,4,0,,0,February,FALSE
CF,Wraith,5,4,,0,February,FALSE
MCM,Wraith,3,0,,0,February,FALSE
AVW,Freddy,4,1,1 hatch,1,February,FALSE
HA,Trapper,5,4,,0,February,FALSE
YAM,Spirit,3,1,1 hatch,1,February,FALSE
RF,Cannibal,5,0,,0,February,FALSE
OR,Ghost Face,3,0,,0,February,FALSE
CF,Hag,5,4,Farm (unbelievable) + 1 hatch,1,February,FALSE
AVW,Ghost Face,3,1,1 hatch,1,February,FALSE
AVW,Hag,5,2,Camp,0,February,FALSE
GID,Legion,4,0,,0,February,FALSE
CF,Huntress,5,2,,0,February,FALSE
LER,Trapper,4,1,1 hatch + Camp,1,February,FALSE
